theme,pain_point,severity,root_cause_hypothesis,self_service_gap,ticket_id,issue_type,period
money_not_received,cannot receive approved refund,high,refund processing delay or payment provider integration issue,False,TCK-110923,refund_not_received,pre
money_not_received,cannot receive approved refund,high,refund processing delay or payment provider integration issue,False,TCK-116951,refund_not_received,pre
money_not_received,cannot know when refund will be received,high,refund status not updated or delayed in backend system,True,TCK-101362,refund_not_received,pre
timeline_not_met,cannot get refund within promised timeframe,high,manual review slows refund processing,True,TCK-113977,refund_not_received,pre
timeline_not_met,cannot receive refund within promised timeframe,high,refund batch processing delayed beyond expected window,True,TCK-105846,refund_not_received,pre
money_not_received,cannot receive refund for order,high,refund status not displayed or processing delayed,True,TCK-105469,refund_not_received,pre
money_not_received,Cannot receive refund for returned order,high,Refund processing delay due to manual review,True,TCK-112829,refund_not_received,pre
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-110616,refund_not_received,pre
money_not_received,cannot access expected funds,high,delayed payout processing or internal review causing hold,True,TCK-110670,refund_not_received,pre
money_not_received,cannot access credited funds,high,delayed processing in payout system,True,TCK-108133,refund_not_received,pre
timeline_not_met,cannot get refund within promised timeframe,high,refund batch delayed due to processing backlog,True,TCK-117545,refund_not_received,pre
timeline_not_met,cannot receive refund,medium,refund batch processing delayed beyond expected window,True,TCK-100950,refund_not_received,pre
money_not_received,cannot receive expected refund,high,refund processing delayed by backend batch schedule,True,TCK-102055,refund_not_received,pre
money_not_received,cannot access credited funds,high,delayed processing in payout system,True,TCK-117195,refund_not_received,pre
money_not_received,cannot access expected funds,high,backend payout processing delay,True,TCK-100733,refund_not_received,pre
money_not_received,cannot receive expected refund,high,refund processing delay in payment system,True,TCK-111738,refund_not_received,pre
money_not_received,cannot get refund for returned order,high,refund not yet processed by payment gateway,True,TCK-107177,refund_not_received,pre
timeline_not_met,cannot receive refund within promised timeframe,high,backend refund batch processing delayed,True,TCK-107969,refund_not_received,pre
money_not_received,cannot receive refund for returned order,medium,refund processing delay in payment system,True,TCK-113866,refund_not_received,pre
money_not_received,cannot receive refunded money,high,delay in payment processor settlement causing refund not posted,True,TCK-105481,refund_not_received,pre
money_not_received,cannot receive expected refund,high,refund processing delay due to payment gateway latency,True,TCK-101134,refund_not_received,pre
money_not_received,cannot receive refund,high,Refund processing delay in finance system,True,TCK-116651,refund_not_received,pre
money_not_received,cannot receive refund,high,refund processing delay in payment system,True,TCK-106334,refund_not_received,pre
timeline_not_met,Cannot receive promised refund,high,Backend refund batch processing delayed beyond expected window,True,TCK-111243,refund_not_received,pre
timeline_not_met,cannot get refund within promised timeframe,high,refund processing batch delayed due to system backlog,True,TCK-110245,refund_not_received,pre
money_not_received,cannot know when refund will be received,high,refund status not updated in system,True,TCK-108608,refund_not_received,pre
money_not_received,cannot receive refunded money,high,refund processing delay or integration issue,True,TCK-116735,refund_not_received,pre
money_not_received,cannot see received refund,high,payment processor delay causing pending refund,True,TCK-110805,refund_not_received,pre
money_not_received,cannot access funds,high,delayed payout processing due to verification backlog,True,TCK-109045,refund_not_received,pre
money_not_received,cannot receive refund,medium,refund processing delay in payment system,True,TCK-112539,refund_not_received,pre
no_status_visibility,cannot see refund status,medium,refund tracking UI missing or not updating,True,TCK-120743,refund_status_unclear,post
timeline_not_met,cannot know when request will be completed,medium,system not updating estimated completion dates,True,TCK-132378,refund_status_unclear,post
no_status_visibility,cannot see refund status,medium,refund tracking UI missing or not updating,True,TCK-125232,refund_status_unclear,post
no_status_visibility,cannot see if request has been processed,medium,system fails to update status visible to user,True,TCK-131003,refund_status_unclear,post
no_status_visibility,cannot determine if request was processed,medium,UI doesn't show processing status,True,TCK-134268,refund_status_unclear,post
no_status_visibility,cannot see status updates,medium,backend not updating status field promptly,True,TCK-126034,refund_status_unclear,post
no_status_visibility,cannot view refund status in app,medium,refund status page missing or not linked in app UI,True,TCK-124719,refund_status_unclear,post
no_status_visibility,cannot verify refund status,medium,refund status not displayed in order details page,True,TCK-122204,refund_status_unclear,post
no_response_from_support,cannot get refund status update,high,support tickets not being assigned or escalated promptly,True,TCK-124324,refund_status_unclear,post
no_status_visibility,cannot see status updates,medium,backend sync issue prevents status from updating,True,TCK-123492,refund_status_unclear,post
no_status_visibility,cannot see status updates,medium,backend sync issue prevents status from updating,True,TCK-129301,refund_status_unclear,post
no_status_visibility,cannot see processing status,medium,status not displayed in user interface,True,TCK-122623,refund_status_unclear,post
no_status_visibility,cannot verify refund status,medium,Refund status not displayed in order details page,True,TCK-122628,refund_status_unclear,post
no_status_visibility,cannot see if request has been processed,medium,status updates not reflected in UI due to sync delay,True,TCK-123854,refund_status_unclear,post
money_not_received,cannot verify refund was issued,medium,refund status not displayed in order details,True,TCK-129678,refund_status_unclear,post
money_not_received,cannot verify refund was issued,medium,refund status not shown in order details,True,TCK-128417,refund_status_unclear,post
no_status_visibility,cannot see updated refund status,medium,status update pipeline not syncing with UI,True,TCK-118841,refund_status_unclear,post
no_status_visibility,cannot see any status updates,high,backend sync failure prevents status changes from being displayed,True,TCK-126640,refund_status_unclear,post
no_status_visibility,"cannot see expected date, only pending status",medium,status updates not displayed due to UI refresh issue,True,TCK-126702,refund_status_unclear,post
no_status_visibility,cannot view refund status,medium,Refund status UI not integrated or data not exposed,True,TCK-125337,refund_status_unclear,post
no_status_visibility,cannot view refund status in app,high,UI lacks refund status display due to missing data integration,True,TCK-118493,refund_status_unclear,post
money_not_received,cannot receive refunded money,high,refund processing backend delay causing status not updating,True,TCK-123559,refund_status_unclear,post
no_status_visibility,cannot view refund status in app,high,refund status UI not implemented or data not synced,True,TCK-130462,refund_status_unclear,post
no_status_visibility,cannot see refund status,high,refund status not exposed in user dashboard,True,TCK-122543,refund_status_unclear,post
no_status_visibility,cannot see if request has been processed,medium,system fails to update status visible to user,True,TCK-122870,refund_status_unclear,post
no_status_visibility,cannot see refund status,medium,Refund tracking UI does not update promptly,True,TCK-128213,refund_status_unclear,post
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-124328,refund_status_unclear,post
no_status_visibility,cannot verify if refund was issued,medium,Refund status not displayed in order details UI,True,TCK-133100,refund_status_unclear,post
no_status_visibility,cannot verify if refund was issued,medium,refund status not displayed in order details,True,TCK-131863,refund_status_unclear,post
no_status_visibility,cannot see status updates,medium,status updates not reflected in UI due to sync issue,True,TCK-127219,refund_status_unclear,post
no_status_visibility,cannot see updated refund status,medium,backend refund updates not reflected on UI,True,TCK-130251,refund_status_unclear,post
no_status_visibility,cannot see status updates,high,backend status updates not propagating to UI,True,TCK-123059,refund_status_unclear,post
no_status_visibility,cannot see updated refund status,medium,backend delay not reflected in UI status display,True,TCK-121904,refund_status_unclear,post
no_status_visibility,cannot see any status updates,high,backend sync failure prevents status changes from displaying,True,TCK-126962,refund_status_unclear,post
no_status_visibility,cannot verify refund status,medium,refund status not displayed in user interface,True,TCK-133782,refund_status_unclear,post
no_status_visibility,cannot determine if request was processed,medium,system fails to update status visible to user,True,TCK-125917,refund_status_unclear,post
no_status_visibility,cannot see refund status,medium,Refund tracking UI does not display current status,True,TCK-134056,refund_status_unclear,post
timeline_not_met,cannot confirm refund completion,medium,refund status not updated due to delayed backend processing,True,TCK-123760,refund_status_unclear,post
no_status_visibility,cannot view refund status,high,Refund status UI not integrated or data not exposed,True,TCK-133277,refund_status_unclear,post
no_status_visibility,cannot see if request has been processed,medium,status not displayed in user interface,True,TCK-120903,refund_status_unclear,post
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-127455,refund_status_unclear,post
timeline_not_met,cannot verify refund completion,medium,refund status not updated due to delayed backend processing,True,TCK-126296,refund_status_unclear,post
timeline_not_met,cannot confirm refund completion,medium,refund status not updated due to delayed backend processing,True,TCK-121491,refund_status_unclear,post
no_response_from_support,cannot get a response from support,high,support tickets not being assigned to agents promptly,True,TCK-130997,refund_status_unclear,post
no_status_visibility,cannot see status updates,medium,backend not updating status display,True,TCK-128310,refund_status_unclear,post
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-125218,refund_status_unclear,post
no_status_visibility,cannot track refund status,medium,Refund tracking UI lacks real-time status updates,True,TCK-129500,refund_status_unclear,post
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-127103,refund_status_unclear,post
no_status_visibility,"cannot see expected date, only pending status",medium,status updates not displayed due to UI refresh issue,True,TCK-132115,refund_status_unclear,post
no_status_visibility,cannot see status updates,medium,backend sync issue prevents status from updating,True,TCK-120294,refund_status_unclear,post
no_status_visibility,cannot verify refund status,medium,refund status not displayed in order details page,True,TCK-118194,refund_status_unclear,pre
no_status_visibility,cannot see expected status or expected completion date,medium,system lacks ETA display for pending items,True,TCK-101558,refund_status_unclear,pre
no_status_visibility,cannot see status updates,high,backend status updates not propagating to UI,True,TCK-115605,refund_status_unclear,pre
no_status_visibility,"cannot see expected date, only pending status",medium,status updates not reflected in UI due to sync delay,True,TCK-113738,refund_status_unclear,pre
no_status_visibility,"cannot see expected date, only pending status",medium,status updates not displayed due to UI refresh issue,True,TCK-113876,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,high,backend refund status not syncing to frontend UI,True,TCK-104638,refund_status_unclear,pre
no_status_visibility,cannot see expected date for pending status,medium,status updates not displayed due to UI refresh lag,True,TCK-103291,refund_status_unclear,pre
no_status_visibility,cannot determine if request was processed,medium,system fails to update status visible to user,True,TCK-106575,refund_status_unclear,pre
no_status_visibility,cannot see status updates,medium,backend sync issue prevents status from updating,True,TCK-116897,refund_status_unclear,pre
no_status_visibility,cannot see status updates,medium,backend sync issue prevents status from updating,True,TCK-106522,refund_status_unclear,pre
no_status_visibility,cannot verify refund status,medium,refund status not displayed in order details page,True,TCK-116294,refund_status_unclear,pre
no_status_visibility,cannot see refund status,high,refund status not exposed in user dashboard,True,TCK-114002,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,high,backend delay prevents status from updating,True,TCK-103283,refund_status_unclear,pre
no_status_visibility,cannot see status updates,medium,backend not updating status field promptly,True,TCK-106129,refund_status_unclear,pre
no_status_visibility,cannot see status updates,medium,backend sync issue prevents status from updating,True,TCK-104491,refund_status_unclear,pre
no_status_visibility,cannot determine if request was processed,medium,UI doesn't show processing status,True,TCK-113428,refund_status_unclear,pre
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-103479,refund_status_unclear,pre
no_status_visibility,cannot verify refund status,medium,refund status not displayed in user interface,True,TCK-104881,refund_status_unclear,pre
no_status_visibility,"cannot see expected date, only pending status",medium,status updates not reflected in UI due to sync delay,True,TCK-100671,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,medium,backend status not propagating to UI,True,TCK-106080,refund_status_unclear,pre
money_not_received,cannot confirm refund was issued,medium,refund status not displayed due to notification bug,True,TCK-113466,refund_status_unclear,pre
no_status_visibility,cannot see expected date for pending status,medium,system not updating status details or UI hides date,True,TCK-100086,refund_status_unclear,pre
no_response_from_support,cannot verify if refund was issued,high,Refund status not displayed in UI due to missing integration,True,TCK-113193,refund_status_unclear,pre
timeline_not_met,cannot know when request will be completed,medium,system not updating estimated completion dates,True,TCK-117806,refund_status_unclear,pre
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-106691,refund_status_unclear,pre
no_status_visibility,cannot verify if refund was issued,medium,refund status not displayed in order details,True,TCK-100281,refund_status_unclear,pre
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-101601,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,high,backend delay prevents status from updating,True,TCK-113842,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,high,UI not receiving backend refund status updates,True,TCK-116846,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,medium,backend delay prevents status from updating on UI,True,TCK-115156,refund_status_unclear,pre
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-118147,refund_status_unclear,pre
no_status_visibility,cannot verify refund status,medium,Refund status not displayed in order details page,True,TCK-116822,refund_status_unclear,pre
no_status_visibility,cannot see expected date for pending status,medium,status updates not displayed due to UI refresh lag,True,TCK-107948,refund_status_unclear,pre
no_response_from_support,cannot get support reply,high,support tickets not routed to agents promptly,True,TCK-112328,refund_status_unclear,pre
no_status_visibility,Cannot see refund status,medium,Refund processing status not updating due to delayed backend sync,True,TCK-111331,refund_status_unclear,pre
no_status_visibility,cannot determine if request was processed,medium,status not displayed in user dashboard,True,TCK-104309,refund_status_unclear,pre
money_not_received,cannot verify refund was issued,medium,refund status not shown in order details,True,TCK-106350,refund_status_unclear,pre
no_status_visibility,cannot see status updates,medium,backend delay prevents status from updating,True,TCK-107143,refund_status_unclear,pre
no_status_visibility,cannot see status updates,high,backend not updating status in real-time,True,TCK-102576,refund_status_unclear,pre
no_status_visibility,cannot see status updates,high,backend sync issue prevents status from updating,True,TCK-114864,refund_status_unclear,pre
no_status_visibility,cannot see status updates,high,backend status updates not propagating to UI,True,TCK-112392,refund_status_unclear,pre
money_not_received,cannot verify refund was issued,medium,refund status not displayed in UI,True,TCK-116203,refund_status_unclear,pre
no_status_visibility,cannot determine if request was processed,medium,system fails to update processing status visible to users,True,TCK-100857,refund_status_unclear,pre
no_status_visibility,cannot view refund status,medium,refund status not displayed in app UI,True,TCK-100598,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,medium,refund status update job delayed,True,TCK-118213,refund_status_unclear,pre
no_status_visibility,cannot verify refund status,medium,refund status not displayed in order details page,True,TCK-104789,refund_status_unclear,pre
no_status_visibility,cannot see refund status,medium,backend delay prevents status update on refund page,True,TCK-111581,refund_status_unclear,pre
no_status_visibility,cannot see updated refund status,medium,backend delay prevents status from updating on UI,True,TCK-111773,refund_status_unclear,pre
no_status_visibility,cannot see status updates,medium,backend not updating status visibility,True,TCK-116998,refund_status_unclear,pre
no_status_visibility,cannot track refund status,medium,Refund tracking UI lacks real-time status updates,True,TCK-108816,refund_status_unclear,pre
